2026-04-11T11:03:14 UTC | Loading BPF program from /home/litaliano00-dev/PysiAdmin/ebpf/probes/exec_monitor.c
2026-04-11T11:03:18 UTC | Tracing execve syscalls — Ctrl+C to stop.
2026-04-11T11:17:10 UTC | EXEC | pid=353960 ppid=353953 uid=1000   comm=bwrap                file=
2026-04-11T11:17:10 UTC | EXEC | pid=353963 ppid=353956 uid=1000   comm=bwrap                file=
2026-04-11T11:17:10 UTC | EXEC | pid=353962 ppid=353786 uid=1000   comm=pool-23              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353962 ppid=353786 uid=1000   comm=pool-23              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353962 ppid=353786 uid=1000   comm=pool-23              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353962 ppid=353786 uid=1000   comm=pool-23              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353962 ppid=353786 uid=1000   comm=pool-23              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353962 ppid=353786 uid=1000   comm=pool-23              file=
2026-04-11T11:17:10 UTC | EXEC | pid=353967 ppid=353786 uid=1000   comm=pool-9               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353967 ppid=353786 uid=1000   comm=pool-9               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353967 ppid=353786 uid=1000   comm=pool-9               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353967 ppid=353786 uid=1000   comm=pool-9               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353967 ppid=353786 uid=1000   comm=pool-9               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353967 ppid=353786 uid=1000   comm=pool-9               file=
2026-04-11T11:17:10 UTC | EXEC | pid=353968 ppid=353958 uid=1000   comm=bwrap                file=
2026-04-11T11:17:10 UTC | EXEC | pid=353980 ppid=353955 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:17:10 UTC | EXEC | pid=353984 ppid=353961 uid=1000   comm=bwrap                file=
2026-04-11T11:17:10 UTC | EXEC | pid=353986 ppid=353960 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:17:10 UTC | EXEC | pid=354000 ppid=353965 uid=1000   comm=bwrap                file=
2026-04-11T11:17:10 UTC | EXEC | pid=354001 ppid=353963 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:17:10 UTC | EXEC | pid=354008 ppid=353975 uid=1000   comm=bwrap                file=
2026-04-11T11:17:10 UTC | EXEC | pid=354013 ppid=353968 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:17:10 UTC | EXEC | pid=354014 ppid=353988 uid=1000   comm=bwrap                file=
2026-04-11T11:17:10 UTC | EXEC | pid=354023 ppid=353984 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:17:10 UTC | EXEC | pid=354037 ppid=354000 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:17:10 UTC | EXEC | pid=354050 ppid=354008 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:17:10 UTC | EXEC | pid=354055 ppid=354014 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:17:39 UTC | EXEC | pid=354073 ppid=903    uid=0      comm=(sd-worker)          file=
2026-04-11T11:18:37 UTC | EXEC | pid=354090 ppid=4745   uid=1000   comm=xdg-document-po      file=
2026-04-11T11:18:37 UTC | EXEC | pid=354090 ppid=4745   uid=1000   comm=xdg-document-po      file=
2026-04-11T11:18:37 UTC | EXEC | pid=354090 ppid=4745   uid=1000   comm=xdg-document-po      file=
2026-04-11T11:18:37 UTC | EXEC | pid=354090 ppid=4745   uid=1000   comm=xdg-document-po      file=
2026-04-11T11:18:37 UTC | EXEC | pid=354090 ppid=4745   uid=1000   comm=xdg-document-po      file=
